city,colonia,point_kind,lat,lon,bbox_min_lat,bbox_min_lon,bbox_max_lat,bbox_max_lon,bbox_span_lat_deg,bbox_span_lon_deg,n_samples
gdl,Colomos Providencia,centroid,20.707738,-103.382127,20.702582,-103.388401,20.710901,-103.378436,0.008319,0.009965,151
gdl,Moderna,centroid,20.665024,-103.366612,20.660045,-103.37626,20.666774,-103.349544,0.006729,0.026716,110
gdl,Moderna,bbox_quadrant,20.661727,-103.369581,20.660045,-103.37626,20.666774,-103.349544,0.006729,0.026716,110
gdl,Moderna,bbox_quadrant,20.661727,-103.356223,20.660045,-103.37626,20.666774,-103.349544,0.006729,0.026716,110
gdl,Moderna,bbox_quadrant,20.665092,-103.369581,20.660045,-103.37626,20.666774,-103.349544,0.006729,0.026716,110
gdl,Moderna,bbox_quadrant,20.665092,-103.356223,20.660045,-103.37626,20.666774,-103.349544,0.006729,0.026716,110
gdl,Providencia 2a Sección,centroid,20.694045,-103.381254,20.690579,-103.384136,20.696605,-103.380471,0.006026,0.003666,25
gdl,San Juan de Dios,centroid,20.676307,-103.331886,20.675468,-103.340407,20.679733,-103.328659,0.004264,0.011748,27
gdl,Zona Centro,centroid,20.676179,-103.354897,20.670502,-103.366195,20.684299,-103.341881,0.013797,0.024313,57
gdl,Zona Centro,bbox_quadrant,20.673951,-103.360116,20.670502,-103.366195,20.684299,-103.341881,0.013797,0.024313,57
gdl,Zona Centro,bbox_quadrant,20.673951,-103.34796,20.670502,-103.366195,20.684299,-103.341881,0.013797,0.024313,57
gdl,Zona Centro,bbox_quadrant,20.68085,-103.360116,20.670502,-103.366195,20.684299,-103.341881,0.013797,0.024313,57
gdl,Zona Centro,bbox_quadrant,20.68085,-103.34796,20.670502,-103.366195,20.684299,-103.341881,0.013797,0.024313,57
gdl,Arcos Vallarta,centroid,20.674148,-103.381359,20.668303,-103.386205,20.677569,-103.377651,0.009266,0.008554,152
